goods_no,카테고리,brand,name,sale_price,건성적합,지성적합,저자극,진정효과,보습효과,미백효과,리뷰수,출처
A000000149963,에센스_세럼_엠플,디오디너리,[입문자추천] 디오디너리 레티놀 0.2% 인 스쿠알란 30ml,12300,37.0,12.0,34.0,24.0,28.0,47.0,5983,실측
A000000154959,에센스_세럼_엠플,제이엠솔루션,제이엠솔루션 릴리프 약산성 약쑥 앰플 50ml,15200,22.0,14.0,92.0,73.0,25.0,2.0,789,실측
A000000155321,에센스_세럼_엠플,AHC,AHC 에이치 멜라루트 앰플 스페셜 기획 (앰플10ml*2+크림20ml+앰플4.5ml 증정),33000,45.0,4.0,66.0,9.0,28.0,63.0,367,실측
A000000156327,에센스_세럼_엠플,수이스킨,수이스킨 하얀 자작나무 수액 앰플 35ml,24000,40.0,9.0,90.0,36.0,59.0,5.0,558,실측
A000000156776,에센스_세럼_엠플,블리블리,블리블리 인진쑥 밸런스 에센스 150ml,43000,26.0,10.0,67.0,95.0,3.0,3.0,40,실측
A000000158292,에센스_세럼_엠플,앰플엔,앰플엔 세라마이드샷 앰플 100ml,18900,54.0,5.0,89.0,16.0,77.0,7.0,4154,실측
A000000158310,에센스_세럼_엠플,믹순,[수분결광] 믹순 콩 에센스 50ml,29700,33.0,13.0,73.0,29.0,67.0,4.0,1387,실측
A000000159596,에센스_세럼_엠플,베리홉,베리홉 아하 바하 파하 리파이닝 부스트 세럼 15g,41900,34.22,21.87,58.87,37.58,54.0,9.32,15,예측
A000000162980,에센스_세럼_엠플,라빠레뜨 뷰티,라빠레뜨 뷰티 카밍 그린 에센셜 세럼 35ml,32000,21.0,7.0,91.0,67.0,33.0,0.0,41,실측
A000000163688,에센스_세럼_엠플,비플레인,[급속진정] 비플레인 시카테롤 앰플 30ml,26000,17.0,15.0,74.0,86.0,14.0,0.0,212,실측
A000000165562,에센스_세럼_엠플,베리홉,베리홉 에잇 데이즈 퓨어 비타민 씨 앰플 엑스퍼트 15g,52000,35.0,7.0,27.0,13.0,13.0,73.0,109,실측
A000000170383,에센스_세럼_엠플,디에이브,디에이브 더마-테카 바이옴 세럼 50ml,30000,33.0,13.0,93.0,51.0,43.0,7.0,411,실측
A000000170928,에센스_세럼_엠플,아이오페,아이오페 PDRN 카페인 샷 앰플 30ml,37500,44.0,3.0,76.0,16.0,40.0,44.0,1105,실측
A000000172041,에센스_세럼_엠플,울트라브이,울트라브이 이데베논 프레스티지 앰플 3개입,35100,44.0,7.0,77.0,8.0,41.0,50.0,747,실측
A000000174027,에센스_세럼_엠플,디오디너리,[노화케어] 디오디너리 멀티-펩타이드 + HA 세럼 30ml,30200,39.0,7.0,56.0,24.0,43.0,32.0,271,실측
A000000176954,에센스_세럼_엠플,에스티로더,에스티 로더 마이크로 에센스 트리트먼트 로션 100ml,105000,42.0,2.0,74.0,29.0,59.0,12.0,107,실측
A000000178077,에센스_세럼_엠플,헤라,헤라 옴므 파워부스팅 페이스 트리트먼트 110ML,60000,16.0,14.0,63.0,16.0,67.0,18.0,57,실측
A000000178993,에센스_세럼_엠플,비마이셀프,비마이셀프 AX 퓨어 비타C 15 앰플 15ml,44900,24.0,13.0,46.0,9.0,20.0,71.0,74,실측
A000000179256,에센스_세럼_엠플,센텔리안24,[진정/속보습] 센텔리안24 마데카 데일리 리페어 앰플 50ml (첫단계진정앰플),23800,42.0,7.0,84.0,47.0,50.0,4.0,223,실측
A000000182480,에센스_세럼_엠플,바이오더마,[항산화 세럼]바이오더마 센시비오 디펜시브 세럼 30ml,50000,40.0,6.0,72.0,49.0,44.0,7.0,459,실측
A000000183731,에센스_세럼_엠플,VT,[국민모공템] VT 리들샷 100 에센스 50ml (+리들샷 300 1ml*3ea기획/단품),22000,21.0,15.0,20.0,39.0,25.0,36.0,23016,실측
A000000185094,에센스_세럼_엠플,메이크프렘,[2주모공세럼/바쿠치올] 메이크프렘 엔드포어 베지티놀 모공세럼 50ml,18900,16.0,19.0,72.0,44.0,30.0,26.0,2161,실측
A000000185313,에센스_세럼_엠플,스킨푸드,[당근앰플] 스킨푸드 캐롯 카로틴 모이스트 이펙터 52ml,17500,30.0,13.0,78.0,40.0,60.0,0.0,261,실측
A000000185961,에센스_세럼_엠플,넘버즈인,[수분광채] 넘버즈인 6번 푹잠 마스크팩 세럼 80ml 기획(+4번 SOS 얼음장팩),24500,46.0,7.0,79.0,24.0,76.0,0.0,6798,실측
A000000187040,에센스_세럼_엠플,아벤느,아벤느 이드랑스 수분 에센스-인-로션 200ml 2입기획,37900,47.0,5.0,77.0,22.0,77.0,1.0,13008,실측
A000000187871,에센스_세럼_엠플,더랩바이블랑두,더랩바이블랑두 엑스퍼트루 모공탄력 세럼 30ml,19000,11.0,18.0,70.0,29.0,38.0,33.0,205,실측
A000000187872,에센스_세럼_엠플,더랩바이블랑두,더랩바이블랑두 엑스퍼트루 잡티케어 세럼 30ml,17400,18.0,7.0,68.0,31.0,17.0,53.0,200,실측
A000000188087,에센스_세럼_엠플,블리브유,[순수비타민/기미잡티] 블리브유 더 리얼 비타 C 20 앰플 12ml,11900,29.0,9.0,44.0,14.0,17.0,69.0,411,실측
A000000189015,에센스_세럼_엠플,후시다인,후시다인 더마 트러블 밸런싱 세럼 40g,35000,30.0,21.0,86.0,60.0,38.0,2.0,1273,실측
A000000189766,에센스_세럼_엠플,더랩바이블랑두,더랩바이블랑두 엑스퍼트루 모공탄력 세럼 30ml 기획 (+샤셰 4매 증정),28000,23.0,17.0,75.0,31.0,41.0,28.0,559,실측
A000000189772,에센스_세럼_엠플,더랩바이블랑두,더랩바이블랑두 엑스퍼트루 잡티케어 세럼 30ml 기획 (+샤셰 4매 증정),29000,23.0,9.0,73.0,31.0,27.0,42.0,964,실측
A000000191387,에센스_세럼_엠플,아비브,[2주모공탄력] 아비브 부활초 비피다 세럼 퍼밍 드롭 50ml,22400,53.0,4.0,62.0,31.0,61.0,8.0,154,실측
A000000197661,에센스_세럼_엠플,닥터멜락신,닥터멜락신 비피 포어 앰플 30ml,20900,38.0,13.0,78.0,34.0,40.0,26.0,90,실측
A000000198424,에센스_세럼_엠플,아벤느,아벤느 클리낭스 파워 컨트롤 세럼 30ml *스팟 케어,27900,27.0,26.0,49.0,74.0,24.0,2.0,180,실측
A000000199173,에센스_세럼_엠플,오휘,[PDRN세럼 선물세트] 오휘 프라임AD 디에이징 앰플세럼 20ml 세트,46750,47.0,5.0,83.0,12.0,56.0,32.0,565,실측
A000000199277,에센스_세럼_엠플,로우퀘스트,로우퀘스트 베리어 인핸싱 토너 투 에센스 200ml,17500,59.0,3.0,88.0,13.0,86.0,1.0,1152,실측
A000000199722,에센스_세럼_엠플,마몽드,마몽드 포어 슈링커 바쿠치올 세럼 50ml 기획 (+크림 30ml),29620,31.0,12.0,61.0,31.0,34.0,34.0,265,실측
A000000199723,에센스_세럼_엠플,마몽드,마몽드 포어 슈링커 바쿠치올 세럼 50ml,39500,37.28,8.63,71.96,33.36,40.99,22.86,11,예측
A000000200533,에센스_세럼_엠플,유리아쥬,유리아쥬 이제악3-레귤 40ml,32000,14.0,36.0,46.0,73.0,24.0,3.0,70,실측
