성분코드,성분명,영문명,CAS,구명칭,배합목적
2916,카프릴릭애씨드,Caprylic Acid,124-07-2,,착향제;계면활성제(세정제)
2913,카프릭애씨드,Capric Acid,334-48-5,,착향제;계면활성제(세정제)
2912,카페인,Caffeine,58-08-2,,착향제
2882,카민,Carmine,1390-65-4,,착향제;착색제
2876,카르본,Carvone,"2244-16-8 (D-)
6485-40-1 (L-)
99-49-0 (misc.)",,착향제;감미제
2862,카라기난,Carrageenan,9000-07-01,,착향제;헤어컨디셔닝제
2849,치자나무오일,Gardenia Florida Oil,68916-47-2,치자오일,착향제
2832,개똥쑥추출물,Artemisia Annua Extract,84775-74-6,청호추출물,착향제
2813,천궁수,Cnidium Officinale Root Water,168456-52-8(generic),,착향제
2798,참나무이끼추출물,Evernia Prunastri (Oakmoss) Extract,90028-68-5,,착향제
2731,라디아타유카리잎/줄기오일,Eucalyptus Radiata Leaf/Stem Oil,,좁은잎페퍼민트검잎/줄기오일,착향제
2730,라디아타유카리잎오일,Eucalyptus Radiata Leaf Oil,,좁은잎페퍼민트검잎오일,착향제
2729,라디아타유카리꽃/잎/줄기추출물,Eucalyptus Radiata Flower/Leaf/Stem Extract,92201-64-4,좁은잎페퍼민트검꽃/잎/줄기추출물,착향제
2728,라디아타유카리꽃/잎/줄기오일,Eucalyptus Radiata Flower/Leaf/Stem Oil,,좁은잎페퍼민트검꽃/잎/줄기오일,착향제
2714,녹차수,Camellia Sinensis Leaf Water,84650-60-2 (generic),,착향제
2704,제라니올,Geraniol,106-24-1,,착향제
2701,와일드제라늄오일,Geranium Maculatum Oil,,제라늄오일,착향제
2650,커먼자스민오일,Jasminum Officinale (Jasmine) Oil,8022-96-6,쟈스민오일,착향제
2649,커먼자스민꽃추출물,Jasminum Officinale (Jasmine) Flower Extract,90045-94-6 (generic),쟈스민꽃추출물,착향제
2624,만주자작나무오일,Betula Alba Oil,"8001-88-5
8027-43-8",자작나무오일,착향제
2616,자일렌,Xylene,1330-20-7,,착향제;용제
2596,자귀나무껍질추출물,Albizia Julibrissin Bark Extract,440103-71-9 (generic),,착향제
2588,입술연지수선화꽃추출물,Narcissus Poeticus Flower Extract,,입술연지수선꽃추출물,착향제
2587,입술연지수선화꽃왁스,Narcissus Poeticus Flower Wax,,입술연지수선꽃왁스,착향제
2584,일랑일랑꽃오일,Cananga Odorata Flower Oil,8006-81-3,,착향제
2580,왜당귀뿌리수,Angelica Acutiloba Root Water,,일당귀수,착향제
2578,인삼수,Panax Ginseng Root Water,"72480-62-7
1449115-64-3",,착향제
2572,녹나무잎추출물,Cinnamomum Camphora (Camphor) Leaf Extract,92201-50-8,,착향제
2537,아이소프로필알코올,Isopropyl Alcohol,67-63-0,이소프로필알코올,착향제;점도감소제;용제;기포방지제
2536,아이소프로필아세테이트,Isopropyl Acetate,108-21-4,이소프로필아세테이트,착향제;용제
2526,아이소풀렉올,Isopulegol,"89-79-2
7786-67-6",이소풀렉올,착향제;감미제
2511,아이소유제놀,Isoeugenol,"5932-68-3 (trans-)
5912-86-7 (cis-)
97-54-1",이소유제놀,착향제;감미제
2503,아이소아밀아세테이트,Isoamyl Acetate,123-92-2,이소아밀아세테이트,착향제;용제
2502,아이소아밀신나메이트,Isoamyl Cinnamate,7779-65-9,이소아밀신나메이트,착향제
2483,노랑만병초잎추출물,Rhododendron Chrysanthum Leaf Extract,90106-20-0,노란만병초잎추출물,착향제
2462,아이소부틸아세테이트,Isobutyl Acetate,110-19-0,이소부틸아세테이트,착향제;용제
2459,아이소부틸벤조에이트,Isobutyl Benzoate,120-50-3,이소부틸벤조에이트,착향제;용제
2453,아이소보닐아세테이트,Isobornyl Acetate,125-12-2,이소보닐아세테이트,착향제
2445,아이소도데케인,Isododecane,"13475-82-6
141-70-8
31807-55-3
93685-81-5",이소도데칸,착향제;용제
2426,율무씨수,Coix Lacryma-Jobi Ma-yuen Seed Water,,의이인수,착향제
2417,육두구가루,Myristica Fragrans (Nutmeg) Powder,,,착향제;감미제
2414,유향나무오일,Boswellia Carterii Oil,,유향유,착향제
2409,유칼립투스잎수,Eucalyptus Globulus Leaf Water,,,착향제
2408,디베스유카리잎/잔가지오일,Eucalyptus Dives Leaf/Twig Oil,90028-48-1,유칼립투스디베스잎/잔가지오일,착향제
2406,유카잎/뿌리추출물,Yucca Vera Leaf/Root Extract,90147-57-2(Generic),유카추출물,착향제
2405,모하비유카잎/뿌리/줄기추출물,Yucca Schidigera Leaf/Root/Stem Extract,"223749-05-1
90147-57-2(generi",유카잎/뿌리/줄기추출물,착향제;계면활성제(세정제)
2395,유제놀,Eugenol,97-53-0,,착향제
2376,파스향나무잎오일,Gaultheria Procumbens (Wintergreen) Leaf Oil,90045-28-6,윈터그린잎오일,착향제;감미제
2370,버지니아풍년화꽃수,Hamamelis Virginiana (Witch Hazel) Flower Water,,위치하젤꽃수,착향제
2263,올레스-20,Oleth-20,9004-98-2(Generic),,착향제;계면활성제(유화제);계면활성제(세정제);계면활성제(용해보조제)
2163,오리스뿌리추출물,Iris Florentina Root Extract,90045-89-9,,착향제
2153,오렌지수,Citrus Aurantium Dulcis (Orange) Fruit Water,,,착향제;감미제
2149,오렌지꽃수,Citrus Aurantium Dulcis (Orange) Flower Water,8030-28-2,,착향제
2131,찔레꽃열매추출물,Rosa Multiflora Fruit Extract,,영실추출물,착향제
2123,연꽃꽃수,Nelumbo Nucifera Flower Water,85085-51-4(generic),인도연꽃수,착향제
2121,연꽃뿌리수,Nelumbo Nucifera Root Water,,,착향제
2098,에톡시다이글라이콜,Ethoxydiglycol,111-90-0,에톡시디글라이콜,착향제;점도감소제;용제
2074,에틸헥산다이올,Ethyl Hexanediol,"1321-34-2
94-96-2",에칠헥산디올,착향제;용제
2071,스페인감초뿌리줄기/뿌리,Glycyrrhiza Glabra (Licorice) Rhizome/Root,"84775-66-6
97676-23-8
68916-91-6",감초,착향제;감미제
2063,에틸에터,Ethyl Ether,60-29-7,에칠에텔,착향제;용제
2060,에틸아세테이트,Ethyl Acetate,141-78-6,에칠아세테이트,착향제;용제
2059,에틸셀룰로오스,Ethylcellulose,9004-57-3,에칠셀룰로오스,착향제;점도증가제(수성);피막형성제;결합제
2056,에틸벤조에이트,Ethyl Benzoate,93-89-0,에칠벤조에이트,착향제
2055,에틸바닐린,Ethyl Vanillin,121-32-4,에칠바닐린,착향제;감미제
2054,에틸멘탄카복사마이드,Ethyl Menthane Carboxamide,39711-79-0,에칠멘탄카복사마이드,착향제;감미제
2041,"에틸2,2-다이메틸하이드로신남알","Ethyl 2,2-Dimethylhydrocinnamal",67634-15-5,"에칠2,2-디메칠하이드로신남알",착향제
1993,스피어민트꽃/잎/줄기추출물,Mentha Spicata Flower/Leaf/Stem Extract,,양박하꽃/잎/줄기추출물,착향제
1980,쑥잎수,Artemisia Princeps Leaf Water,,애엽수,착향제
1964,암모니아,Ammonia,7664-41-7,,착향제;pH 조정제
1909,나무이끼추출물,Evernia Furfuracea (Treemoss) Extract,90028-67-4,,착향제
1890,알진,Algin,"9005-38-3
57606-04-9",,착향제;결합제
1883,알지닌,Arginine,"74-79-3 (L-Form)
7200-25-1",,착향제;헤어컨디셔닝제
1790,마조람잎오일,Origanum Majorana Leaf Oil,8015-01-8,꽃박하잎오일,착향제
1779,마조람꽃오일,Origanum Majorana Flower Oil,,꽃박하꽃오일,착향제
1711,아세틸트라이에틸시트레이트,Acetyl Triethyl Citrate,77-89-4,아세틸트리에칠시트레이트,착향제;가소제
1710,아세틸트라이부틸시트레이트,Acetyl Tributyl Citrate,77-90-7,아세틸트리부틸시트레이트,착향제;가소제
1688,아세틱애씨드,Acetic Acid,64-19-7,,착향제;pH 조정제
1671,아밀신남알,Amyl Cinnamal,122-40-7,,착향제
1670,아밀신나밀알코올,Amylcinnamyl Alcohol,101-85-9,,착향제
1652,아미노메틸프로판다이올,Aminomethyl Propanediol,115-69-5,아미노메칠프로판디올,착향제;pH 조정제
1629,아라비아고무나무검,Acacia Senegal Gum,9000-01-5,아라비아고무,착향제;점착제
1620,아디픽애씨드,Adipic Acid,124-04-9,,착향제;pH 조정제
1610,아니스알코올,Anise Alcohol,105-13-5,아니스에탄올,착향제
1609,아니스알데하이드,Anisaldehyde,123-11-5,,착향제
1561,실유카추출물,Yucca Filamentosa Extract,"90147-57-2(generic)
90147-58-3",,착향제
1542,신남알,Cinnamal,104-55-2,,착향제;감미제
1541,신나밀알코올,Cinnamyl Alcohol,104-54-1,,착향제;감미제
1532,시트릭애씨드,Citric Acid,"77-92-9
5949-29-1",,착향제;금속이온봉쇄제;pH 조정제
1530,시트로넬올,Citronellol,"106-22-9
26489-01-0",시트로넬롤,착향제
1525,시트로넬릴메틸크로토네이트,Citronellyl Methylcrotonate,20770-40-5,시트로넬릴메칠크로토네이트,착향제
1523,시트랄,Citral,"5392-40-5
141-27-5 (cis-)
106-26-3 (trans-)",,착향제;감미제
1516,시스틴,Cystine,56-89-3,,착향제;헤어컨디셔닝제
1488,스트로브잣나무솔방울추출물,Pinus Strobus Cone Extract,94266-48-5,흰소나무솔방울추출물,착향제
1465,스테아릭애씨드,Stearic Acid,57-11-4,,착향제;계면활성제(유화제);계면활성제(세정제)
1391,스왐프페이퍼바크잎오일,Melaleuca Ericifolia Leaf Oil,,,착향제
1321,솔잣나무오일,Cupressus Sempervirens Oil,,,착향제
1291,솔비탄올리에이트,Sorbitan Oleate,"1338-43-8
37318-79-9",소르비탄올리에이트,착향제;계면활성제(유화제)
1288,솔비탄스테아레이트,Sorbitan Stearate,"1338-41-6
5093-91-4
56451-84",소르비탄스테아레이트,착향제;계면활성제(유화제)
1270,소듐헥사메타포스페이트,Sodium Hexametaphosphate,"10124-56-8
68915-31-1",,착향제;금속이온봉쇄제;부식방지제
1145,소듐시트레이트,Sodium Citrate,"994-36-5
6132-04-3 (dihydrate)	
68-04-2 (anhydrous)",,착향제;금속이온봉쇄제;pH 조정제
1023,셀룰로오스검,Cellulose Gum,"9000-11-7
9004-32-4",,착향제;유화안정제;점도증가제(수성);피막형성제;결합제
935,글루타티온,Glutathione,70-18-8,글루타치온,착향제;환원제
923,살비아오일,Salvia Officinalis (Sage) Oil,"8022-56-8
84776-73-8",세이지오일,착향제
922,살비아수,Salvia Officinalis (Sage) Water,8022-56-8,세이지수,착향제
894,타임오일,Thymus Vulgaris (Thyme) Oil,84850-52-2,선백리향오일,착향제
888,석시닉애씨드,Succinic Acid,110-15-6,,착향제;pH 조정제
887,석시노일아텔로콜라겐,Succinoyl Atelocollagen,,,착향제
883,석류나무추출물,Punica Granatum Extract,84961-57-9,,착향제
879,웨스트오스트레일리아산달우드목부오일,Fusanus Spicatus Wood Oil,8024-35-9,서양호주산달우드오일,착향제
873,글루코오스펜타아세테이트,Glucose Pentaacetate,"3891-59-6
604-68-2",,착향제;유화안정제
832,생강수,Zingiber Officinale (Ginger) Water,84696-15-1,,착향제
819,삼색제비꽃/잎/줄기수,Viola Tricolor Flower/Leaf/Stem Water,,삼색제비꽃꽃/잎/줄기추출물,착향제
807,살구수,Prunus Armeniaca (Apricot) Fruit Water,,,착향제
784,글루코닉애씨드,Gluconic Acid,"133-42-6
526-95-4",,착향제
780,샤프란꽃추출물,Crocus Sativus Flower Extract,84604-17-1,사프란꽃추출물,착향제
776,사카린,Saccharin,81-07-2,,착향제;감미제
751,사과수,Pyrus Malus (Apple) Fruit Water,,,착향제
678,비사보롤,Bisabolol,"72691-24-8 
23089-26-1
515-69-5",비사볼올,착향제
655,서양산딸기추출물,Rubus Fruticosus (Blackberry) Fruit Extract,84787-69-9,블랙베리추출물,착향제
608,부틸페닐메틸프로피오날,Butylphenyl Methylpropional,80-54-6,부틸페닐메칠프로피오날,착향제
599,부틸알코올,n-Butyl Alcohol,71-36-3,n-부틸알코올,착향제;용제
593,부틸메타크릴레이트,Butyl Methacrylate,"97-88-1
44914-63-6",,착향제
586,부틸렌글라이콜,Butylene Glycol,"107-88-0
6290-03-5",,착향제;점도감소제;용제
524,벤질신나메이트,Benzyl Cinnamate,103-41-3,,착향제
523,벤질살리실레이트,Benzyl Salicylate,118-58-1,,착향제;변색방지제
522,벤질벤조에이트,Benzyl Benzoate,120-51-4,,착향제;용제
479,베티버뿌리오일,Vetiveria Zizanioides Root Oil,8016-96-4,,착향제
474,베타-시토스테롤,Beta-Sitosterol,83-46-5,,착향제
467,아메리카베스우드꽃추출물,Tilia Americana Flower Extract,90063-53-9,베스우드꽃추출물,착향제
459,베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,"68648-33-9 
8007-75-8
85049-52-1",베르가모트열매오일,착향제
439,갈락토아라비난,Galactoarabinan,9036-66-2,갈락토아란비난,착향제;피막형성제
434,단향오일,Santalum Album (Sandalwood) Oil,8006-87-9,백단향오일,착향제
428,귤껍질가루,Citrus Unshiu Peel Powder,,,착향제
418,카나다발삼수지,Abies Balsamea (Balsam Canada) Resin,8007-47-4,발삼캐나다수지,착향제;피막형성제
413,콘민트오일,Mentha Arvensis Leaf Oil,"90063-97-1(generic)
68917-18-0",박하잎오일,착향제
412,콘민트가루,Mentha Arvensis Powder,,박하가루,착향제
383,바닐린,Vanillin,121-33-5,,착향제;감미제
336,미리스틱애씨드,Myristic Acid,544-63-8,,착향제;계면활성제(세정제);불투명화제
295,치스투스 몬스펠리엔시스추출물,Cistus Monspeliensis Extract,93165-05-0,몽펠리에록로즈추출물,착향제
288,코튼열매수,Gossypium Herbaceum (Cotton) Fruit Water,,목화열매수,착향제
246,멘틸살리실레이트,Menthyl Salicylate,"89-46-3
109423-22-5",,착향제;감미제
244,멘톨,Menthol,"1490-04-6
15356-70-4
2216-51-5
89-78-1",,착향제;감미제
242,멘톡시프로판다이올,Menthoxypropanediol,87061-04-9,멘톡시프로판디올,착향제;감미제
241,굳은소나무가지/잎오일,Pinus Ponderosa Branch/Leaf Oil,,,착향제
239,멕시칸주니퍼오일,Juniperus Mexicana Oil,68990-83-0,,착향제
219,암브레트추출물,Hibiscus Abelmoschus Extract,84455-19-6,구주아욱추출물,착향제
216,메틸페닐부탄올,Methyl Phenylbutanol,103-05-9,메칠페닐부탄올,착향제
204,메틸유제놀,Methyl Eugenol,93-15-2,메칠유제놀,착향제
203,메틸2-옥티노에이트,Methyl 2-Octynoate,111-12-6,메칠2-옥티노에이트,착향제
202,메틸안트라닐레이트,Methyl Anthranilate,134-20-3,메칠안트라닐레이트,착향제;감미제
201,메틸아세테이트,Methyl Acetate,79-20-9,메칠아세테이트,착향제;용제
191,메틸셀룰로오스,Methylcellulose,9004-67-5,메칠셀룰로오스,착향제;유화안정제;점도증가제(수성);결합제
189,메틸살리실레이트,Methyl Salicylate,119-36-8,메칠살리실레이트,착향제;감미제
186,4-메틸벤즈알데하이드,4-Methylbenzaldehyde,104-87-0,4-메칠벤즈알데하이드,착향제;감미제
185,구주소나무잎오일,Pinus Sylvestris Leaf Oil,8023-99-2,,착향제
180,메틸3-메틸레조실레이트,Methyl 3-Methylresorcylate,33662-58-7,메칠3-메칠레조실레이트,착향제
176,메틸다이아이소프로필프로피온아마이드,Methyl Diisopropyl Propionamide,51115-67-4,메칠디이소프로필프로피온아마이드,착향제
164,구주소나무솔방울추출물,Pinus Sylvestris Cone Extract,94226-48-5,,착향제
148,매스틱검,Pistacia Lentiscus (Mastic) Gum,"90082-82-9
61789-92-2",,착향제;피막형성제;점착제
123,말릭애씨드,Malic Acid,"636-61-3 (D-)	
6915-15-7 
97-67-6 (L-)",,착향제;pH 조정제
